,precision,recall,f1-score,support
Bacterial_spot,0.9710564399421129,0.9166666666666666,0.9430780042164442,732.0
Early_blight,0.8955954323001631,0.8538102643856921,0.8742038216560509,643.0
Late_blight,0.9202988792029888,0.9330808080808081,0.9266457680250784,792.0
Leaf_Mold,0.9477303988995873,0.93234100135318,0.9399727148703957,739.0
Septoria_leaf_spot,0.8778523489932886,0.8766756032171582,0.8772635814889336,746.0
Spider_mites Two-spotted_spider_mite,0.9195402298850575,0.9195402298850575,0.9195402298850575,435.0
Target_Spot,0.7461406518010292,0.9518599562363238,0.8365384615384616,457.0
Tomato_Yellow_Leaf_Curl_Virus,0.9958246346555324,0.9578313253012049,0.9764585465711362,498.0
Tomato_mosaic_virus,0.966131907308378,0.928082191780822,0.9467248908296944,584.0
healthy,0.958904109589041,0.9565217391304348,0.9577114427860697,805.0
powdery_mildew,0.9547325102880658,0.9206349206349206,0.9373737373737374,252.0
accuracy,0.921442465958402,0.921442465958402,0.921442465958402,0.921442465958402
macro avg,0.9230734129877495,0.9224586096974791,0.9214101090219144,6683.0
weighted avg,0.9253998035437042,0.921442465958402,0.922350102556953,6683.0
